EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,TrainingTimesLastYear,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,PerformanceRating,OverTime,DistanceFromHome,BusinessTravel,StockOptionLevel,Attrition,AnnualIncome,IncomePerYearAtCompany
1064,54,Male,Married,Research & Development,Manufacturing Director,5,5765,6,4,1,4,4,3,No,26,Travel_Rarely,3,No,69180,9882.86
1065,57,Male,Married,Sales,Sales Representative,3,6292,3,6,3,2,2,3,No,6,Travel_Rarely,0,No,75504,18876.0
1066,56,Female,Married,Research & Development,Manufacturing Director,2,6267,25,1,4,3,1,2,No,23,Non-Travel,0,No,75204,2892.46
1067,35,Female,Married,Sales,Manager,3,1800,1,0,2,1,1,3,No,25,Travel_Rarely,2,Yes,21600,10800.0
1068,52,Male,Married,Research & Development,Laboratory Technician,4,7787,10,1,3,2,1,3,No,16,Travel_Rarely,0,No,93444,8494.91
1069,41,Male,Single,Sales,Sales Executive,4,10011,14,3,4,3,1,3,No,17,Travel_Rarely,3,No,120132,8008.8
1070,50,Male,Divorced,Human Resources,Human Resources,1,1986,0,2,3,3,2,3,No,21,Travel_Rarely,3,Yes,23832,23832.0
1071,55,Male,Married,Research & Development,Laboratory Technician,5,3338,10,6,3,4,4,1,No,20,Travel_Rarely,1,Yes,40056,3641.45
1072,29,Male,Married,Sales,Sales Executive,2,7758,5,0,3,3,2,3,Yes,2,Travel_Rarely,1,No,93096,15516.0
1073,33,Female,Divorced,Sales,Sales Executive,5,6995,3,5,1,1,2,3,Yes,16,Travel_Rarely,1,No,83940,20985.0
1074,46,Male,Married,Research & Development,Research Scientist,5,6550,15,2,1,2,2,4,Yes,9,Travel_Rarely,3,No,78600,4912.5
1075,40,Female,Single,Research & Development,Research Scientist,5,6401,6,1,1,3,4,3,No,12,Travel_Rarely,0,No,76812,10973.14
1076,47,Female,Married,Research & Development,Research Director,3,9570,10,1,4,1,2,3,No,10,Travel_Rarely,3,No,114840,10440.0
1077,33,Male,Married,Research & Development,Manufacturing Director,4,7424,11,5,3,3,3,3,No,23,Travel_Frequently,0,Yes,89088,7424.0
1078,36,Female,Single,Sales,Manager,2,3546,3,4,3,2,1,3,Yes,21,Travel_Rarely,3,No,42552,10638.0
1079,56,Male,Single,Research & Development,Laboratory Technician,4,5127,17,0,1,2,3,3,No,26,Travel_Rarely,0,Yes,61524,3418.0
1080,57,Female,Divorced,Sales,Sales Representative,3,6908,19,4,3,1,3,3,No,12,Travel_Rarely,1,No,82896,4144.8
1081,31,Female,Married,Research & Development,Manufacturing Director,2,6042,9,2,4,4,3,3,No,26,Travel_Rarely,3,No,72504,7250.4
1082,54,Female,Single,Research & Development,Laboratory Technician,5,4496,22,3,1,1,2,4,Yes,3,Travel_Rarely,3,No,53952,2345.74
1083,30,Male,Single,Research & Development,Laboratory Technician,5,10848,8,1,4,3,1,3,Yes,21,Non-Travel,0,No,130176,14464.0
1084,53,Male,Married,Sales,Sales Executive,1,2286,6,0,2,4,1,3,Yes,5,Travel_Rarely,2,No,27432,3918.86
1085,26,Male,Divorced,Research & Development,Manufacturing Director,2,7690,5,4,2,3,4,3,No,12,Travel_Rarely,1,No,92280,15380.0
1086,43,Female,Single,Research & Development,Laboratory Technician,2,5695,11,6,4,2,2,3,No,29,Travel_Frequently,0,No,68340,5695.0
1087,24,Male,Divorced,Research & Development,Manufacturing Director,4,4469,4,0,4,2,2,3,No,1,Travel_Rarely,1,No,53628,10725.6
1088,55,Female,Married,Research & Development,Manufacturing Director,2,6408,13,1,1,3,1,3,Yes,13,Travel_Rarely,0,No,76896,5492.57
1089,39,Male,Married,Research & Development,Research Director,1,9290,10,1,2,2,2,3,No,20,Travel_Rarely,1,No,111480,10134.55
1090,24,Male,Divorced,Research & Development,Laboratory Technician,3,7278,3,1,1,2,2,2,No,3,Travel_Rarely,3,No,87336,21834.0
1091,54,Female,Single,Sales,Sales Representative,1,6437,13,2,2,1,1,3,Yes,3,Non-Travel,1,No,77244,5517.43
1092,33,Female,Single,Research & Development,Research Scientist,5,9244,11,4,3,3,2,2,No,18,Travel_Rarely,1,No,110928,9244.0
1093,31,Male,Single,Research & Development,Research Scientist,3,7002,1,6,3,1,1,2,No,9,Travel_Rarely,3,Yes,84024,42012.0
1094,25,Male,Single,Research & Development,Research Director,4,3499,3,3,4,4,4,3,No,7,Travel_Rarely,1,No,41988,10497.0
1095,56,Female,Married,Research & Development,Research Director,3,4274,13,5,1,1,2,2,No,5,Travel_Rarely,1,No,51288,3663.43
1096,22,Male,Married,Research & Development,Research Scientist,5,2695,0,4,2,4,4,3,Yes,21,Non-Travel,0,No,32340,32340.0
1097,47,Male,Single,Research & Development,Research Scientist,5,9030,2,1,1,1,1,3,No,6,Travel_Rarely,3,No,108360,36120.0
1098,50,Female,Married,Research & Development,Laboratory Technician,2,4104,0,4,2,4,3,3,Yes,28,Travel_Rarely,1,No,49248,49248.0
1099,40,Male,Married,Sales,Sales Executive,1,4989,7,2,3,1,4,2,No,13,Travel_Rarely,0,No,59868,7483.5
1100,40,Male,Divorced,Sales,Manager,2,6310,6,4,4,2,3,3,No,26,Travel_Rarely,3,No,75720,10817.14
1101,30,Male,Divorced,Sales,Sales Representative,2,3368,0,0,4,2,1,3,No,9,Travel_Rarely,3,No,40416,40416.0
1102,52,Female,Married,Research & Development,Manufacturing Director,2,5943,15,1,4,3,1,3,No,11,Travel_Rarely,0,No,71316,4457.25
1103,51,Male,Married,Research & Development,Laboratory Technician,1,7726,18,1,1,4,1,3,No,3,Travel_Rarely,2,No,92712,4879.58
1104,28,Female,Married,Research & Development,Manufacturing Director,4,8481,6,5,4,1,1,4,Yes,22,Non-Travel,1,No,101772,14538.86
1105,36,Male,Married,Human Resources,Manager,3,9095,12,2,3,3,1,3,No,1,Travel_Frequently,1,Yes,109140,8395.38
1106,37,Male,Married,Sales,Sales Executive,2,6553,7,3,4,2,3,2,No,1,Travel_Rarely,0,No,78636,9829.5
1107,34,Female,Single,Research & Development,Laboratory Technician,2,11297,9,5,2,1,1,2,Yes,17,Travel_Rarely,3,No,135564,13556.4
1108,58,Female,Married,Research & Development,Manufacturing Director,3,13762,25,1,3,2,1,4,No,20,Travel_Rarely,1,No,165144,6351.69
1109,25,Male,Married,Sales,Manager,2,5459,0,2,3,3,4,2,No,14,Non-Travel,3,No,65508,65508.0
1110,40,Female,Married,Sales,Manager,2,3548,16,4,2,2,1,3,Yes,24,Travel_Frequently,2,Yes,42576,2504.47
1111,54,Male,Married,Sales,Manager,4,6293,14,0,1,4,4,3,No,13,Non-Travel,2,No,75516,5034.4
1112,30,Male,Married,Sales,Sales Executive,3,6195,9,1,1,1,2,2,No,10,Travel_Rarely,1,No,74340,7434.0
1113,40,Male,Married,Human Resources,Human Resources,5,4834,18,0,1,4,2,3,No,20,Non-Travel,1,No,58008,3053.05
1114,57,Female,Single,Research & Development,Research Scientist,4,3213,5,3,2,4,1,3,Yes,12,Non-Travel,3,Yes,38556,6426.0
1115,28,Male,Single,Research & Development,Laboratory Technician,4,8087,7,0,4,1,1,3,No,10,Non-Travel,3,Yes,97044,12130.5
1116,25,Male,Married,Research & Development,Research Scientist,3,6647,1,1,3,4,4,3,No,15,Travel_Frequently,2,No,79764,39882.0
1117,35,Female,Married,Research & Development,Research Scientist,4,9185,9,0,4,1,1,4,No,19,Non-Travel,0,Yes,110220,11022.0
1118,43,Female,Married,Sales,Sales Executive,3,3364,22,1,1,1,3,3,No,29,Travel_Rarely,1,No,40368,1755.13
1119,31,Female,Married,Research & Development,Manufacturing Director,4,8291,1,5,4,3,2,3,No,7,Non-Travel,2,No,99492,49746.0
1120,41,Male,Married,Research & Development,Laboratory Technician,4,9459,3,4,4,4,2,3,No,24,Travel_Frequently,2,No,113508,28377.0
1121,23,Female,Divorced,Research & Development,Manufacturing Director,1,7047,3,5,1,3,2,3,No,3,Travel_Rarely,2,No,84564,21141.0
1122,45,Male,Single,Research & Development,Manufacturing Director,2,5360,8,0,1,2,4,3,No,23,Travel_Rarely,3,No,64320,7146.67
1123,48,Male,Single,Research & Development,Research Scientist,3,6363,7,4,4,4,1,3,No,11,Travel_Rarely,3,No,76356,9544.5
1124,42,Male,Married,Sales,Sales Representative,3,5490,12,6,4,1,1,3,No,26,Travel_Rarely,2,Yes,65880,5067.69
1125,26,Female,Married,Sales,Manager,4,7709,5,1,4,1,1,3,No,11,Travel_Rarely,3,Yes,92508,15418.0
1126,42,Male,Married,Research & Development,Research Scientist,2,6611,0,2,3,3,1,3,Yes,9,Travel_Rarely,2,No,79332,79332.0
1127,36,Male,Married,Research & Development,Manufacturing Director,4,5977,2,5,4,1,4,4,Yes,7,Travel_Rarely,2,No,71724,23908.0
1128,36,Male,Divorced,Research & Development,Research Scientist,1,7943,2,5,1,3,1,4,No,20,Non-Travel,2,No,95316,31772.0
1129,48,Male,Single,Sales,Sales Representative,3,4084,23,5,2,4,1,3,Yes,21,Travel_Rarely,0,Yes,49008,2042.0
1130,40,Male,Married,Research & Development,Research Director,1,7575,13,3,3,3,4,1,No,9,Travel_Rarely,2,No,90900,6492.86
1131,57,Male,Divorced,Research & Development,Manufacturing Director,3,6641,0,4,4,2,2,3,No,11,Non-Travel,0,No,79692,79692.0
1132,43,Male,Married,Sales,Manager,4,5626,8,5,3,3,3,3,Yes,29,Travel_Rarely,3,No,67512,7501.33
1133,58,Male,Single,Sales,Sales Executive,1,4181,8,1,1,4,1,4,No,17,Travel_Rarely,2,No,50172,5574.67
1134,40,Female,Single,Research & Development,Research Scientist,5,7795,19,5,2,3,4,3,No,19,Travel_Rarely,2,No,93540,4677.0
1135,43,Female,Divorced,Human Resources,Human Resources,2,3760,22,5,1,1,1,4,Yes,6,Travel_Rarely,3,No,45120,1961.74
1136,50,Male,Single,Research & Development,Research Scientist,1,4872,12,4,3,1,1,3,Yes,3,Travel_Frequently,1,No,58464,4497.23
1137,54,Male,Single,Research & Development,Manufacturing Director,5,9911,16,5,2,1,1,3,No,22,Non-Travel,0,No,118932,6996.0
1138,34,Male,Married,Research & Development,Laboratory Technician,4,5756,10,4,3,3,4,3,No,14,Travel_Frequently,3,No,69072,6279.27
1139,47,Female,Divorced,Research & Development,Laboratory Technician,5,7562,17,6,2,3,3,3,No,1,Travel_Rarely,3,No,90744,5041.33
1140,23,Male,Divorced,Human Resources,Human Resources,2,4463,2,2,1,3,2,3,No,19,Travel_Rarely,0,Yes,53556,17852.0
1141,23,Female,Married,Human Resources,Manager,5,9205,1,2,2,3,2,3,Yes,12,Travel_Rarely,0,No,110460,55230.0
1142,49,Male,Married,Sales,Sales Representative,5,6792,20,4,3,2,2,3,No,3,Travel_Rarely,1,No,81504,3881.14
1143,36,Female,Married,Research & Development,Manufacturing Director,1,6302,10,5,4,4,3,3,No,25,Travel_Rarely,1,No,75624,6874.91
1144,22,Male,Single,Research & Development,Manufacturing Director,3,7780,2,1,3,3,3,3,Yes,28,Travel_Rarely,2,No,93360,31120.0
1145,55,Female,Single,Sales,Sales Executive,3,7179,5,1,3,3,3,3,No,13,Travel_Rarely,0,No,86148,14358.0
1146,27,Male,Married,Sales,Sales Executive,5,9395,2,4,3,2,4,3,No,10,Travel_Rarely,0,No,112740,37580.0
1147,50,Male,Married,Research & Development,Laboratory Technician,5,3350,15,0,4,2,1,3,No,9,Travel_Frequently,2,No,40200,2512.5
1148,42,Male,Single,Research & Development,Research Director,1,3484,13,6,4,4,3,3,Yes,11,Travel_Frequently,3,Yes,41808,2986.29
1149,38,Male,Divorced,Sales,Sales Executive,4,4244,18,4,3,2,3,3,No,28,Travel_Frequently,2,No,50928,2680.42
1150,33,Male,Single,Sales,Sales Executive,4,9151,5,4,2,1,2,3,No,28,Travel_Frequently,1,No,109812,18302.0
1151,53,Male,Divorced,Human Resources,Manager,3,1800,3,6,3,4,1,3,Yes,24,Travel_Rarely,2,No,21600,5400.0
1152,25,Female,Single,Sales,Manager,1,6303,4,3,4,1,1,1,No,8,Travel_Rarely,3,Yes,75636,15127.2
1153,52,Male,Married,Sales,Sales Executive,5,8713,21,1,2,4,4,2,No,22,Travel_Rarely,1,No,104556,4752.55
1154,56,Female,Single,Research & Development,Laboratory Technician,3,9172,18,6,4,1,4,1,No,8,Travel_Rarely,0,No,110064,5792.84
1155,30,Male,Married,Human Resources,Human Resources,4,7461,1,5,4,2,3,3,No,2,Travel_Rarely,1,No,89532,44766.0
1156,53,Male,Single,Sales,Sales Executive,2,7624,1,1,1,2,4,2,Yes,6,Travel_Rarely,3,No,91488,45744.0
1157,52,Male,Divorced,Research & Development,Research Director,5,5277,7,2,2,3,1,1,Yes,23,Travel_Rarely,0,No,63324,7915.5
1158,46,Male,Married,Research & Development,Research Director,4,4850,21,1,1,4,4,3,No,10,Travel_Rarely,1,No,58200,2645.45
1159,43,Female,Single,Sales,Sales Representative,2,3982,22,1,4,3,3,2,No,14,Travel_Rarely,0,No,47784,2077.57
1160,47,Female,Single,Research & Development,Manufacturing Director,5,7619,17,1,2,4,1,3,No,23,Travel_Rarely,3,No,91428,5079.33
1161,48,Female,Married,Research & Development,Research Director,4,7719,17,5,3,3,1,3,No,17,Travel_Rarely,0,No,92628,5146.0
1162,31,Male,Single,Research & Development,Research Scientist,3,9849,6,0,1,1,4,3,No,5,Travel_Frequently,2,No,118188,16884.0
1163,58,Male,Single,Research & Development,Research Director,3,6851,15,6,4,4,1,2,No,3,Travel_Frequently,3,No,82212,5138.25
1164,23,Male,Single,Research & Development,Research Scientist,5,6074,3,5,1,3,1,2,No,22,Travel_Rarely,0,No,72888,18222.0
1165,49,Female,Single,Sales,Sales Executive,2,5641,0,0,4,1,4,3,Yes,13,Travel_Frequently,2,Yes,67692,67692.0
1166,43,Male,Married,Research & Development,Manufacturing Director,1,12111,16,2,2,4,2,3,No,25,Non-Travel,3,No,145332,8548.94
1167,22,Male,Single,Research & Development,Research Scientist,2,9834,2,2,4,3,3,3,Yes,12,Travel_Rarely,1,Yes,118008,39336.0
1168,46,Female,Married,Sales,Manager,3,4691,0,5,2,1,4,3,Yes,25,Travel_Frequently,0,No,56292,56292.0
1169,54,Female,Married,Sales,Sales Representative,2,2619,12,4,3,2,4,2,No,3,Travel_Rarely,0,No,31428,2417.54
1170,30,Female,Single,Research & Development,Research Scientist,4,9172,6,2,4,2,1,4,No,18,Travel_Rarely,0,No,110064,15723.43
1171,31,Male,Married,Research & Development,Manufacturing Director,1,4357,4,2,4,3,4,3,No,28,Travel_Rarely,1,No,52284,10456.8
1172,47,Male,Married,Sales,Sales Representative,1,4151,16,2,1,2,2,1,No,9,Travel_Rarely,2,No,49812,2930.12
1173,27,Male,Divorced,Research & Development,Laboratory Technician,4,9303,1,5,2,1,3,4,Yes,3,Travel_Frequently,3,No,111636,55818.0
1174,49,Male,Married,Sales,Sales Representative,3,4955,11,3,1,2,2,4,Yes,3,Travel_Rarely,0,Yes,59460,4955.0
1175,39,Male,Married,Research & Development,Research Scientist,3,8264,7,6,2,3,1,2,No,4,Travel_Frequently,2,No,99168,12396.0
1176,58,Female,Married,Sales,Sales Executive,2,6547,9,6,4,4,4,3,No,10,Travel_Rarely,1,No,78564,7856.4
1177,50,Female,Married,Research & Development,Manufacturing Director,1,12449,9,2,1,4,1,4,Yes,23,Travel_Rarely,0,Yes,149388,14938.8
1178,56,Male,Married,Research & Development,Research Director,5,6582,16,1,3,4,1,4,Yes,17,Travel_Rarely,2,No,78984,4646.12
1179,41,Male,Married,Human Resources,Human Resources,5,6035,10,0,1,1,1,2,Yes,1,Travel_Rarely,3,No,72420,6583.64
1180,47,Male,Divorced,Sales,Manager,5,4115,18,6,1,1,2,4,No,15,Travel_Frequently,3,Yes,49380,2598.95
1181,29,Female,Married,Research & Development,Laboratory Technician,3,5823,6,3,4,1,1,3,No,27,Non-Travel,2,No,69876,9982.29
1182,50,Male,Married,Sales,Sales Representative,4,3934,23,0,4,3,1,3,Yes,25,Travel_Rarely,0,No,47208,1967.0
1183,27,Male,Married,Human Resources,Manager,4,4171,4,6,3,2,3,2,No,22,Travel_Rarely,2,No,50052,10010.4
1184,51,Female,Married,Research & Development,Research Scientist,3,4642,4,0,4,3,2,3,No,14,Travel_Frequently,3,No,55704,11140.8
1185,37,Male,Single,Sales,Manager,2,6713,9,0,2,2,1,4,No,9,Travel_Rarely,0,No,80556,8055.6
1186,22,Male,Married,Research & Development,Research Scientist,3,5179,2,6,3,2,1,3,No,9,Travel_Rarely,2,Yes,62148,20716.0
1187,50,Male,Married,Research & Development,Manufacturing Director,5,6279,19,3,1,3,4,3,No,17,Travel_Rarely,0,No,75348,3767.4
1188,25,Male,Married,Research & Development,Research Scientist,2,6050,1,5,3,1,3,3,No,3,Travel_Rarely,3,No,72600,36300.0
1189,40,Female,Single,Research & Development,Laboratory Technician,3,2754,15,2,4,3,2,3,Yes,3,Travel_Rarely,0,No,33048,2065.5
1190,58,Male,Single,Sales,Manager,3,4862,7,1,2,3,2,3,No,3,Travel_Rarely,3,No,58344,7293.0
1191,32,Female,Married,Sales,Sales Executive,3,5583,5,4,1,1,2,2,No,14,Travel_Rarely,1,Yes,66996,11166.0
1192,25,Female,Single,Research & Development,Research Scientist,3,3999,0,6,4,4,2,2,No,15,Non-Travel,0,No,47988,47988.0
1193,29,Female,Married,Human Resources,Manager,2,6081,0,5,2,2,4,3,No,28,Travel_Rarely,0,No,72972,72972.0
1194,55,Female,Divorced,Research & Development,Research Director,2,5303,24,1,4,3,3,3,No,24,Travel_Rarely,2,No,63636,2545.44
1195,41,Male,Married,Research & Development,Laboratory Technician,3,11383,14,2,2,2,1,3,No,22,Travel_Rarely,0,No,136596,9106.4
1196,23,Male,Married,Research & Development,Manufacturing Director,3,10551,0,1,1,2,3,3,Yes,25,Non-Travel,3,Yes,126612,126612.0
1197,49,Female,Divorced,Research & Development,Research Scientist,5,3743,6,1,1,2,2,3,No,1,Travel_Rarely,3,Yes,44916,6416.57
1198,56,Male,Married,Research & Development,Research Director,5,11051,19,6,1,3,1,3,No,28,Non-Travel,2,No,132612,6630.6
1199,41,Male,Married,Research & Development,Research Director,5,8667,20,6,3,3,4,3,No,15,Non-Travel,1,No,104004,4952.57
1200,32,Male,Married,Research & Development,Laboratory Technician,4,4378,1,5,4,3,3,3,No,18,Travel_Rarely,0,No,52536,26268.0
1201,48,Male,Single,Research & Development,Research Scientist,4,5291,9,0,1,4,1,3,Yes,11,Travel_Frequently,1,No,63492,6349.2
1202,57,Female,Married,Sales,Manager,3,6594,17,1,1,2,1,3,No,18,Travel_Rarely,0,No,79128,4396.0
1203,25,Male,Married,Sales,Sales Representative,5,4797,2,5,2,1,1,2,No,1,Travel_Frequently,1,No,57564,19188.0
1204,40,Male,Single,Research & Development,Manufacturing Director,2,4945,2,3,1,3,1,3,Yes,12,Travel_Rarely,0,No,59340,19780.0
1205,53,Male,Single,Research & Development,Laboratory Technician,5,8603,13,0,1,1,2,3,No,7,Travel_Frequently,2,No,103236,7374.0
1206,44,Female,Married,Sales,Manager,5,8016,16,6,4,3,1,3,No,25,Travel_Rarely,2,Yes,96192,5658.35
